linha,coluna
45,48
45,49
46,46
46,47
46,48
46,49
47,47
47,48
47,49
48,47
48,48
48,49
48,50
49,46
49,47
49,48
49,49
49,50
49,51
49,52
50,46
50,47
50,48
50,49
50,50
50,51
50,52
50,53
51,46
51,47
51,48
51,49
51,50
51,51
51,52
51,53
52,45
52,46
52,47
52,48
52,49
52,50
52,51
52,52
52,53
52,54
53,45
53,46
53,47
53,48
53,49
53,50
53,51
53,52
53,53
53,54
53,55
53,56
54,45
54,46
54,47
54,48
54,49
54,50
54,51
54,52
54,53
54,54
54,55
54,56
54,57
55,45
55,46
55,47
55,48
55,50
55,51
55,52
55,53
55,54
55,55
55,56
55,60
55,65
55,66
56,45
56,46
56,47
56,48
56,51
56,52
56,53
56,54
56,55
56,56
56,59
56,60
56,64
56,65
56,66
57,45
57,46
57,47
57,49
57,50
57,51
57,52
57,53
57,54
57,55
57,56
57,57
57,58
57,59
57,60
57,65
57,66
57,67
57,72
58,44
58,45
58,50
58,51
58,52
58,53
58,54
58,55
58,59
58,60
58,61
58,64
58,65
58,66
58,67
58,72
58,73
59,44
59,45
59,46
59,51
59,52
59,53
59,54
59,55
59,56
59,57
59,58
59,60
59,61
59,64
59,65
59,66
59,70
59,71
59,72
59,74
60,46
60,52
60,53
60,57
60,59
60,60
60,61
60,62
60,63
60,64
60,65
60,66
60,67
60,68
60,69
60,71
60,72
60,73
60,74
61,47
61,51
61,52
61,59
61,60
61,61
61,62
61,64
61,65
61,66
61,67
61,69
61,72
61,73
62,46
62,47
62,50
62,51
62,52
62,58
62,59
62,60
62,61
62,64
62,65
62,67
62,72
63,46
63,49
63,51
63,53
63,57
63,58
63,59
63,60
63,61
63,64
63,65
63,66
63,68
63,69
63,71
64,46
64,47
64,48
64,49
64,50
64,52
64,53
64,55
64,56
64,57
64,58
64,59
64,60
64,61
64,62
64,63
64,64
64,65
64,66
64,70
65,47
65,49
65,50
65,51
65,52
65,53
65,55
65,56
65,57
65,58
65,59
65,60
65,61
65,62
65,63
65,64
65,65
65,66
65,67
65,68
66,49
66,52
66,54
66,55
66,56
66,57
66,58
66,59
66,60
66,61
66,62
66,63
66,64
66,65
66,66
66,67
66,68
66,69
67,53
67,54
67,55
67,56
67,57
67,58
67,60
67,61
67,62
67,65
67,66
67,67
67,68
67,69
68,54
68,57
68,58
68,61
68,62
68,63
68,64
68,65
68,66
69,56
69,57
69,58
69,59
69,60
69,61
69,62
69,63
69,65
70,55
70,56
70,57
70,58
70,59
70,61
70,62
70,63
71,56
71,57
71,58
71,59
71,60
71,61
71,62
71,63
72,56
72,57
72,58
72,59
72,60
72,61
72,62
72,63
73,57
73,58
73,60
73,61
73,62
74,57
